temporada_atual,rodada_atual,id_piloto_atual,id_circuito_atual,id_equipe_atual,grid_anterior,posicao_ultima_corrida,pontos_anterior_individual,media_posicao_ganha_anterior,status,posicao_equipe_anterior,pontos_equipe_anterior,vitorias_equipe_anterior,pontos_anterior,posicao_camp_anterior,num_vitorias_anterior,media_ultimas_3_anterior,media_ultimas_5_anterior,qtde_abandonos_anterior,tendencia_desempenho,temp_ar_media,temp_pista_media,umidade_media,corrida_molhada,perc_voltas_chuva
2026,8,hamilton,red_bull_ring,ferrari,2,1,25,1.67,Finished,2,190,1,115,2,1,1.67,3.4,0,-1.73,29.8,34.3,32.0,0,0.0
2026,8,russell,red_bull_ring,mercedes,1,2,18,-8.33,Finished,1,262,6,106,3,1,11.0,8.2,1,2.8,29.8,34.3,32.0,0,0.0
2026,8,norris,red_bull_ring,mclaren,4,3,15,-8.33,Finished,3,141,0,73,5,0,13.33,9.4,2,3.93,29.8,34.3,32.0,0,0.0
2026,8,max_verstappen,red_bull_ring,red_bull,5,4,12,-5.33,Finished,4,89,0,55,7,0,9.67,8.4,2,1.27,29.8,34.3,32.0,0,0.0
2026,8,piastri,red_bull_ring,mclaren,7,5,10,-1.0,Finished,3,141,0,68,6,0,7.0,5.2,0,1.8,29.8,34.3,32.0,0,0.0
2026,8,hadjar,red_bull_ring,red_bull,6,6,8,1.0,Lapped,4,89,0,34,9,0,5.0,9.8,2,-4.8,29.8,34.3,32.0,0,0.0
2026,8,gasly,red_bull_ring,alpine,14,7,6,6.33,Lapped,5,57,0,41,8,0,6.0,9.2,1,-3.2,29.8,34.3,32.0,0,0.0
2026,8,lawson,red_bull_ring,rb,8,8,4,3.0,Lapped,6,41,0,28,10,0,7.0,10.0,1,-3.0,29.8,34.3,32.0,0,0.0
2026,8,arvid_lindblad,red_bull_ring,rb,11,9,2,-1.0,Lapped,6,41,0,13,13,0,12.67,13.2,0,-0.53,29.8,34.3,32.0,0,0.0
2026,8,colapinto,red_bull_ring,alpine,13,10,1,2.33,Lapped,5,57,0,16,12,0,10.0,10.6,0,-0.6,29.8,34.3,32.0,0,0.0
2026,8,bortoleto,red_bull_ring,audi,12,11,0,2.0,Lapped,9,2,0,2,17,0,11.67,12.0,0,-0.33,29.8,34.3,32.0,0,0.0
2026,8,sainz,red_bull_ring,williams,16,12,0,2.0,Lapped,8,11,0,6,14,0,12.33,12.2,1,0.13,29.8,34.3,32.0,0,0.0
2026,8,ocon,red_bull_ring,haas,17,13,0,5.0,Lapped,7,21,0,3,16,0,12.0,11.8,0,0.2,29.8,34.3,32.0,0,0.0
2026,8,perez,red_bull_ring,cadillac,19,14,0,3.67,Lapped,11,0,0,0,21,0,15.33,15.8,1,-0.47,29.8,34.3,32.0,0,0.0
2026,8,leclerc,red_bull_ring,ferrari,10,15,0,-4.67,Retired,2,190,1,75,4,0,12.0,9.4,2,2.6,29.8,34.3,32.0,0,0.0
2026,8,antonelli,red_bull_ring,mercedes,3,16,0,-4.0,Retired,1,262,6,156,1,5,6.0,4.0,1,2.0,29.8,34.3,32.0,0,0.0
2026,8,bearman,red_bull_ring,haas,15,17,0,1.0,Retired,7,21,0,18,11,0,15.67,16.0,3,-0.33,29.8,34.3,32.0,0,0.0
2026,8,albon,red_bull_ring,williams,18,18,0,0.0,Lapped,8,11,0,5,15,0,15.67,15.4,1,0.27,29.8,34.3,32.0,0,0.0
2026,8,alonso,red_bull_ring,aston_martin,22,19,0,4.33,Retired,10,1,0,1,18,0,16.33,16.4,4,-0.07,29.8,34.3,32.0,0,0.0
2026,8,hulkenberg,red_bull_ring,audi,9,20,0,-4.0,Retired,9,2,0,0,19,0,15.0,15.0,2,0.0,29.8,34.3,32.0,0,0.0
2026,8,bottas,red_bull_ring,cadillac,20,21,0,1.0,Retired,11,0,0,0,20,0,19.33,19.0,3,0.33,29.8,34.3,32.0,0,0.0
2026,8,stroll,red_bull_ring,aston_martin,21,22,0,3.33,Retired,10,1,0,0,22,0,18.33,18.6,4,-0.27,29.8,34.3,32.0,0,0.0
