temporada;rodada;temp_ar_media;temp_pista_media;umidade_media;corrida_molhada;perc_voltas_chuva
2018;1;24.08;36.32;30.92;0;4.5
2018;2;27.98;32.2;47.36;0;0.0
2018;3;19.45;37.02;24.09;0;1.8
2018;4;16.66;25.25;45.65;0;0.0
2018;5;16.05;32.34;52.29;1;79.0
2018;6;26.64;34.61;50.89;0;12.4
2018;7;20.52;36.95;27.83;0;0.0
2018;8;24.55;42.03;49.05;0;1.0
2018;9;23.18;45.88;37.14;0;0.0
2018;10;27.43;52.17;38.74;0;0.0
2018;11;26.4;40.67;54.81;0;26.0
2018;12;33.76;51.09;33.01;0;0.0
2018;13;17.33;27.9;37.7;0;0.0
2018;14;22.19;30.82;63.81;0;23.2
2018;15;29.87;33.12;66.04;0;0.0
2018;16;24.78;29.95;61.31;0;1.8
2018;17;28.26;37.17;50.52;0;0.0
2018;18;21.93;30.49;37.56;0;0.0
2018;19;20.12;34.47;50.71;0;0.0
2018;20;23.77;40.07;75.41;0;0.0
2018;21;31.27;33.32;45.44;0;4.4
2019;1;23.48;41.31;70.45;0;0.0
2019;2;26.21;28.61;53.37;0;0.0
2019;3;19.33;27.34;45.98;0;0.0
2019;4;19.76;39.65;51.41;0;0.0
2019;5;20.15;40.73;54.72;0;0.0
2019;6;22.75;32.73;52.7;1;62.6
2019;7;29.37;51.1;16.15;0;0.0
2019;8;26.89;54.53;39.09;0;0.0
2019;9;34.44;50.74;17.97;0;0.0
2019;10;18.91;30.32;62.14;0;0.0
2019;11;21.5;26.44;87.83;1;96.6
2019;12;25.66;44.1;33.89;0;0.0
2019;13;17.4;28.12;57.03;0;0.0
2019;14;21.1;33.04;51.57;0;0.0
2019;15;29.97;35.75;66.46;0;0.0
2019;16;22.03;34.33;67.42;0;0.8
2019;17;21.62;32.18;57.48;0;0.0
2019;18;23.2;41.63;46.29;0;0.0
2019;19;21.48;29.08;29.24;0;0.0
2019;20;21.02;46.45;60.29;0;0.0
2019;21;26.02;29.57;64.47;0;0.0
2020;1;28.68;52.02;33.83;0;0.0
2020;2;20.82;39.92;34.01;0;1.7
2020;3;20.74;27.13;77.19;0;1.5
2020;4;21.29;40.63;44.17;0;0.0
2020;5;25.29;43.23;58.56;0;0.0
2020;6;29.8;47.56;56.38;0;0.0
2020;7;18.57;29.82;54.85;0;0.0
2020;8;28.09;41.2;40.12;0;0.0
2020;9;30.17;43.1;39.94;0;0.0
2020;10;28.81;40.34;51.36;0;0.0
2020;11;9.5;16.36;59.4;0;2.0
2020;12;20.51;25.72;67.53;0;0.0
2020;13;18.03;23.26;71.14;0;0.0
2020;14;13.1;15.21;80.16;0;4.3
2020;15;25.1;27.55;67.85;0;0.0
2020;16;20.95;23.47;58.17;0;0.0
2020;17;23.12;27.98;55.45;0;0.0
2021;1;20.54;27.63;54.52;0;0.0
2021;2;10.62;16.83;69.49;0;41.0
2021;3;19.39;38.95;39.4;0;0.0
2021;4;22.2;32.92;57.55;0;0.0
2021;5;20.76;37.6;61.42;0;0.0
2021;6;24.17;38.31;55.81;0;0.0
2021;7;25.31;35.23;58.63;0;0.0
2021;8;26.69;52.35;33.25;0;0.0
2021;9;20.97;33.18;49.73;0;3.8
2021;10;29.4;50.93;37.2;0;0.0
2021;11;27.23;37.82;68.62;0;30.4
2021;12;13.01;15.26;96.44;1;84.1
2021;13;21.5;36.11;54.11;0;0.0
2021;14;28.89;43.53;33.28;0;0.0
2021;15;19.14;21.76;61.95;0;10.1
2021;16;15.83;18.18;93.52;0;0.0
2021;17;28.15;37.47;61.19;0;0.0
2021;18;21.21;47.58;31.21;0;0.0
2021;19;23.14;51.56;60.1;0;0.0
2021;20;26.42;30.6;75.54;0;2.0
2021;21;28.82;31.68;76.2;0;0.0
2021;22;24.52;28.47;59.05;0;0.0
2022;1;23.62;28.61;29.49;0;0.0
2022;2;25.42;28.41;59.66;0;0.0
2022;3;26.7;37.41;43.65;0;0.0
2022;4;12.9;17.42;83.17;0;0.0
2022;5;30.62;42.82;58.86;0;5.6
2022;6;36.57;48.96;7.11;0;0.0
2022;7;22.27;31.04;75.67;0;43.7
2022;8;25.44;47.15;59.49;0;0.0
2022;9;20.76;41.26;28.93;0;0.0
2022;10;18.25;30.03;59.75;0;4.4
2022;11;20.26;30.75;35.14;0;0.0
2022;12;30.16;54.46;47.73;0;0.0
2022;13;18.56;26.72;69.32;0;27.5
2022;14;21.79;36.08;40.52;0;0.0
2022;15;22.73;33.45;75.38;0;0.0
2022;16;27.73;43.14;33.15;0;0.0
2022;17;26.23;28.97;87.45;0;18.0
2022;18;16.72;19.93;86.21;1;98.0
2022;19;29.29;35.52;49.62;0;0.0
2022;20;24.31;41.69;34.44;0;0.0
2022;21;23.01;46.05;76.08;0;0.0
2022;22;28.58;34.31;61.68;0;0.0
2023;1;27.43;31.01;21.5;0;0.0
2023;2;26.09;31.79;57.79;0;0.0
2023;3;17.45;30.14;54.16;0;0.0
2023;4;24.86;41.21;49.22;0;0.0
2023;5;27.12;36.69;59.43;0;0.0
2023;6;25.07;39.26;45.86;0;14.8
2023;7;22.67;33.84;63.08;0;0.0
2023;8;18.53;30.59;63.9;0;0.0
2023;9;22.4;32.05;52.05;0;2.0
2023;10;21.47;30.94;56.19;0;0.0
2023;11;28.81;48.58;32.8;0;0.0
2023;12;17.87;28.24;61.93;0;7.3
2023;13;16.79;24.94;70.78;0;23.0
2023;14;29.33;42.93;42.32;0;0.0
2023;15;29.84;36.42;72.03;0;0.0
2023;16;27.29;42.07;42.32;0;0.0
2023;17;31.46;36.93;73.16;0;0.0
2023;18;29.96;40.63;41.91;0;0.0
2023;19;25.55;45.64;23.55;0;0.0
2023;20;20.46;46.78;58.17;0;0.5
2023;21;18.05;17.99;47.36;0;0.0
2023;22;26.96;33.46;51.0;0;0.0
2024;1;18.23;23.65;48.82;0;0.0
2024;2;25.53;31.59;62.34;0;0.0
2024;3;20.62;38.4;44.45;0;0.0
2024;4;21.69;37.5;43.43;0;0.0
2024;5;18.64;29.79;66.06;0;0.0
2024;6;28.52;44.66;59.01;0;0.0
2024;7;25.11;42.02;48.43;0;0.0
2024;8;21.6;46.32;63.99;0;0.0
2024;9;17.8;24.57;73.38;0;27.4
2024;10;24.13;41.1;63.44;0;0.6
2024;11;29.43;46.42;35.01;0;0.7
2024;12;15.77;27.67;67.33;0;34.7
