temporada_atual,rodada_atual,id_piloto_atual,posicao_quali_atual,q1_atual,q2_atual,q3_atual,target,id_circuito_atual,id_equipe_atual,grid_anterior,posicao_ultima_corrida,status,pontos_anterior_individual,posicao_equipe_anterior,pontos_equipe_anterior,vitorias_equipe_anterior,dif_para_pole_atual,pontos_anterior,posicao_camp_anterior,num_vitorias_anterior,media_ultimas_3_anterior,media_ultimas_5_anterior,qtde_abandonos_anterior,media_posicao_ganha_anterior,tendencia_desempenho,temp_ar_media,temp_pista_media,umidade_media,corrida_molhada,perc_voltas_chuva
2023,1,albon,15,91461.0,,,10,bahrain,williams,,,,,,,,,,,,,,,,,27.43,31.01,21.5,0,0.0
2023,1,alonso,5,91158.0,90645.0,90336.0,3,bahrain,aston_martin,,,,,,,,628.0,,,,,,,,,27.43,31.01,21.5,0,0.0
2023,1,bottas,12,91504.0,91443.0,,8,bahrain,alfa,,,,,,,,,,,,,,,,,27.43,31.01,21.5,0,0.0
2023,1,de_vries,19,92121.0,,,14,bahrain,alphatauri,,,,,,,,,,,,,,,,,27.43,31.01,21.5,0,0.0
2023,1,gasly,20,92181.0,,,9,bahrain,alpine,,,,,,,,,,,,,,,,,27.43,31.01,21.5,0,0.0
2023,1,hamilton,7,91543.0,90513.0,90384.0,5,bahrain,mercedes,,,,,,,,676.0,,,,,,,,,27.43,31.01,21.5,0,0.0
2023,1,hulkenberg,10,91204.0,90809.0,,15,bahrain,haas,,,,,,,,,,,,,,,,,27.43,31.01,21.5,0,0.0
2023,1,kevin_magnussen,17,91892.0,,,13,bahrain,haas,,,,,,,,,,,,,,,,,27.43,31.01,21.5,0,0.0
2023,1,leclerc,3,91094.0,90282.0,90000.0,19,bahrain,ferrari,,,,,,,,292.0,,,,,,,,,27.43,31.01,21.5,0,0.0
2023,1,max_verstappen,1,91295.0,90503.0,89708.0,1,bahrain,red_bull,,,,,,,,0.0,,,,,,,,,27.43,31.01,21.5,0,0.0
2023,1,norris,11,91652.0,91381.0,,17,bahrain,mclaren,,,,,,,,,,,,,,,,,27.43,31.01,21.5,0,0.0
2023,1,ocon,9,91508.0,90914.0,90984.0,18,bahrain,alpine,,,,,,,,1276.0,,,,,,,,,27.43,31.01,21.5,0,0.0
2023,1,perez,2,91479.0,90746.0,89846.0,2,bahrain,red_bull,,,,,,,,138.0,,,,,,,,,27.43,31.01,21.5,0,0.0
2023,1,piastri,18,92101.0,,,20,bahrain,mclaren,,,,,,,,,,,,,,,,,27.43,31.01,21.5,0,0.0
2023,1,russell,6,91057.0,90507.0,90340.0,7,bahrain,mercedes,,,,,,,,632.0,,,,,,,,,27.43,31.01,21.5,0,0.0
2023,1,sainz,4,90993.0,90515.0,90154.0,4,bahrain,ferrari,,,,,,,,446.0,,,,,,,,,27.43,31.01,21.5,0,0.0
