temporada_atual,rodada_atual,id_piloto_atual,posicao_quali_atual,q1_atual,q2_atual,q3_atual,target,id_circuito_atual,id_equipe_atual,grid_anterior,posicao_ultima_corrida,posicao_equipe_anterior,pontos_equipe_anterior,vitorias_equipe_anterior,dif_para_pole_atual,pontos_anterior,posicao_camp_anterior,num_vitorias_anterior,media_ultimas_3_anterior,media_ultimas_5_anterior,qtde_abandonos_anterior,media_posicao_ganha_anterior,tendencia_desempenho,temp_ar_media,temp_pista_media,umidade_media,corrida_molhada,perc_voltas_chuva
2018,1,alonso,11.0,83597.0,83692.0,,5,albert_park,mclaren,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,bottas,10.0,83686.0,82089.0,,8,albert_park,mercedes,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,brendon_hartley,16.0,84532.0,,,15,albert_park,toro_rosso,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,ericsson,17.0,84556.0,,,19,albert_park,sauber,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,gasly,20.0,85295.0,,,18,albert_park,toro_rosso,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,grosjean,7.0,83671.0,83468.0,83339.0,16,albert_park,haas,,,,,,2175.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,hamilton,1.0,82824.0,82051.0,81164.0,2,albert_park,mercedes,,,,,,0.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,hulkenberg,8.0,83782.0,83544.0,83532.0,7,albert_park,renault,,,,,,2368.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,kevin_magnussen,6.0,83909.0,83300.0,83187.0,17,albert_park,haas,,,,,,2023.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,leclerc,18.0,84636.0,,,13,albert_park,sauber,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,max_verstappen,4.0,83483.0,82416.0,81879.0,6,albert_park,red_bull,,,,,,715.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,ocon,15.0,84503.0,84786.0,,12,albert_park,force_india,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,perez,13.0,84344.0,84005.0,,11,albert_park,force_india,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,raikkonen,2.0,83096.0,82507.0,81828.0,3,albert_park,ferrari,,,,,,664.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,ricciardo,5.0,83494.0,82897.0,82152.0,4,albert_park,red_bull,,,,,,988.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,sainz,9.0,83529.0,83061.0,83577.0,10,albert_park,renault,,,,,,2413.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,sirotkin,19.0,84922.0,,,20,albert_park,williams,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,stroll,14.0,84464.0,84230.0,,14,albert_park,williams,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,vandoorne,12.0,84073.0,83853.0,,9,albert_park,mclaren,,,,,,,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,1,vettel,3.0,83348.0,81944.0,81838.0,1,albert_park,ferrari,,,,,,674.0,,,,,,,,,24.08,36.32,30.92,0,4.5
2018,2,alonso,13.0,90530.0,90212.0,,7,bahrain,mclaren,10.0,5.0,4,12.0,0.0,,10.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,bottas,3.0,89275.0,88794.0,88124.0,2,bahrain,mercedes,15.0,8.0,2,22.0,0.0,166.0,4.0,8.0,0.0,8.0,8.0,0.0,7.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,brendon_hartley,11.0,90412.0,90105.0,,17,bahrain,toro_rosso,16.0,15.0,9,0.0,0.0,,0.0,15.0,0.0,15.0,15.0,0.0,1.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,ericsson,17.0,91063.0,,,9,bahrain,sauber,17.0,19.0,7,0.0,0.0,,0.0,,0.0,,,0.0,,,27.98,32.2,47.36,0,0.0
2018,2,gasly,6.0,90121.0,89836.0,89329.0,4,bahrain,toro_rosso,20.0,18.0,9,0.0,0.0,1371.0,0.0,,0.0,,,0.0,,,27.98,32.2,47.36,0,0.0
2018,2,grosjean,16.0,90530.0,,,13,bahrain,haas,6.0,16.0,-,0.0,0.0,,0.0,,0.0,,,0.0,,,27.98,32.2,47.36,0,0.0
2018,2,hamilton,4.0,89396.0,88458.0,88220.0,3,bahrain,mercedes,1.0,2.0,2,22.0,0.0,262.0,18.0,2.0,0.0,2.0,2.0,0.0,-1.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,hulkenberg,8.0,90260.0,89187.0,89570.0,6,bahrain,renault,7.0,7.0,5,7.0,0.0,1612.0,6.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,kevin_magnussen,7.0,89594.0,89623.0,89358.0,5,bahrain,haas,5.0,17.0,-,0.0,0.0,1400.0,0.0,,0.0,,,0.0,,,27.98,32.2,47.36,0,0.0
2018,2,leclerc,19.0,91420.0,,,12,bahrain,sauber,18.0,13.0,7,0.0,0.0,,0.0,13.0,0.0,13.0,13.0,0.0,5.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,max_verstappen,15.0,89374.0,,,19,bahrain,red_bull,4.0,6.0,3,20.0,0.0,,8.0,6.0,0.0,6.0,6.0,0.0,-2.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,ocon,9.0,90338.0,90009.0,89874.0,10,bahrain,force_india,14.0,12.0,6,0.0,0.0,1916.0,0.0,12.0,0.0,12.0,12.0,0.0,2.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,perez,12.0,90218.0,90156.0,,16,bahrain,force_india,12.0,11.0,6,0.0,0.0,,0.0,11.0,0.0,11.0,11.0,0.0,1.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,raikkonen,2.0,88951.0,88515.0,88101.0,18,bahrain,ferrari,2.0,3.0,1,40.0,1.0,143.0,15.0,3.0,0.0,3.0,3.0,0.0,-1.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,ricciardo,5.0,89552.0,88962.0,88398.0,20,bahrain,red_bull,8.0,4.0,3,20.0,0.0,440.0,12.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,sainz,10.0,89893.0,89802.0,89986.0,11,bahrain,renault,9.0,10.0,5,7.0,0.0,2028.0,1.0,10.0,0.0,10.0,10.0,0.0,-1.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,sirotkin,18.0,91414.0,,,15,bahrain,williams,19.0,20.0,8,0.0,0.0,,0.0,,0.0,,,0.0,,,27.98,32.2,47.36,0,0.0
2018,2,stroll,20.0,91503.0,,,14,bahrain,williams,13.0,14.0,8,0.0,0.0,,0.0,14.0,0.0,14.0,14.0,0.0,-1.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,vandoorne,14.0,90479.0,90525.0,,8,bahrain,mclaren,11.0,9.0,4,12.0,0.0,,2.0,9.0,0.0,9.0,9.0,0.0,2.0,0.0,27.98,32.2,47.36,0,0.0
2018,2,vettel,1.0,89060.0,88341.0,87958.0,1,bahrain,ferrari,3.0,1.0,1,40.0,1.0,0.0,25.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,27.98,32.2,47.36,0,0.0
2018,3,alonso,13.0,93428.0,93232.0,,7,shanghai,mclaren,13.0,7.0,3,22.0,0.0,,16.0,4.0,0.0,6.0,6.0,0.0,5.5,0.0,19.45,37.02,24.09,0,1.8
2018,3,bottas,3.0,92921.0,92063.0,91625.0,2,shanghai,mercedes,3.0,2.0,2,55.0,0.0,530.0,22.0,3.0,0.0,5.0,5.0,0.0,4.0,0.0,19.45,37.02,24.09,0,1.8
2018,3,brendon_hartley,15.0,94013.0,93795.0,,20,shanghai,toro_rosso,11.0,17.0,6,12.0,0.0,,0.0,19.0,0.0,16.0,16.0,0.0,-2.5,0.0,19.45,37.02,24.09,0,1.8
2018,3,ericsson,20.0,94914.0,,,16,shanghai,sauber,17.0,9.0,8,2.0,0.0,,2.0,12.0,0.0,9.0,9.0,1.0,8.0,0.0,19.45,37.02,24.09,0,1.8
2018,3,gasly,17.0,94101.0,,,18,shanghai,toro_rosso,5.0,4.0,6,12.0,0.0,,12.0,7.0,0.0,4.0,4.0,1.0,1.0,0.0,19.45,37.02,24.09,0,1.8
2018,3,grosjean,10.0,93238.0,92524.0,92855.0,17,shanghai,haas,16.0,13.0,7,10.0,0.0,1760.0,0.0,17.0,0.0,13.0,13.0,1.0,3.0,0.0,19.45,37.02,24.09,0,1.8
2018,3,hamilton,4.0,93283.0,91914.0,91675.0,4,shanghai,mercedes,9.0,3.0,2,55.0,0.0,580.0,33.0,2.0,0.0,2.5,2.5,0.0,2.5,0.0,19.45,37.02,24.09,0,1.8
2018,3,hulkenberg,7.0,93545.0,92494.0,92532.0,6,shanghai,renault,7.0,6.0,5,15.0,0.0,1437.0,14.0,6.0,0.0,6.5,6.5,0.0,0.5,0.0,19.45,37.02,24.09,0,1.8
2018,3,kevin_magnussen,11.0,93359.0,92986.0,,10,shanghai,haas,6.0,5.0,7,10.0,0.0,,10.0,9.0,0.0,5.0,5.0,1.0,1.0,0.0,19.45,37.02,24.09,0,1.8
2018,3,leclerc,19.0,94454.0,,,19,shanghai,sauber,19.0,12.0,8,2.0,0.0,,0.0,16.0,0.0,12.5,12.5,0.0,6.0,0.0,19.45,37.02,24.09,0,1.8
2018,3,max_verstappen,5.0,92932.0,92809.0,91796.0,5,shanghai,red_bull,15.0,19.0,4,20.0,0.0,701.0,8.0,10.0,0.0,6.0,6.0,0.0,-2.0,0.0,19.45,37.02,24.09,0,1.8
2018,3,ocon,12.0,93585.0,93057.0,,11,shanghai,force_india,8.0,10.0,9,1.0,0.0,,1.0,14.0,0.0,11.0,11.0,0.0,0.0,0.0,19.45,37.02,24.09,0,1.8
